iter	MultiClass
0	0.6889185012
1	0.6845210308
2	0.6800211183
3	0.6756204558
4	0.6714232484
5	0.6672946067
6	0.6631091061
7	0.6591507624
8	0.6554381209
9	0.6518232237
10	0.647932047
11	0.6445984818
12	0.640938537
13	0.6373963309
14	0.6337569532
15	0.6301914032
16	0.6266914009
17	0.6233259148
18	0.6199879979
19	0.6167353136
20	0.6135422799
21	0.6104964522
22	0.607591596
23	0.6045431309
24	0.6014784102
25	0.5988241773
26	0.5958589763
27	0.5929927013
28	0.5901631965
29	0.5874403802
30	0.5848582758
31	0.5821103414
32	0.579506454
33	0.5768896257
34	0.5743900369
35	0.5718554635
36	0.5696182095
37	0.5671720758
38	0.5647569549
39	0.5624595692
40	0.5600817064
41	0.5577493747
42	0.5554572259
43	0.5532231109
44	0.55102263
45	0.5488309662
46	0.5467490846
47	0.5446264856
48	0.5428131828
49	0.5407495202
50	0.5386945046
51	0.5366921756
52	0.5347407476
53	0.532822109
54	0.5308881032
55	0.5290250367
56	0.5271617211
57	0.525566418
58	0.523755235
59	0.5219741235
60	0.5202272007
61	0.5185566201
62	0.5168548159
63	0.5151668602
64	0.5138207008
65	0.5121858724
66	0.5106114866
67	0.5090464612
68	0.5075841872
69	0.5060473586
70	0.5045283156
71	0.5030074426
72	0.5015578087
73	0.5001443528
74	0.4987545596
75	0.4973158781
76	0.4959262756
77	0.4945789848
78	0.4931802024
79	0.491880274
80	0.4905303693
81	0.4891857293
82	0.4878965321
83	0.4866004077
84	0.4854484257
85	0.4843145607
86	0.4830744553
87	0.4819772822
88	0.4807716503
89	0.4795474855
90	0.4783428316
91	0.4771996264
92	0.476028547
93	0.4749304945
94	0.4738699381
95	0.4730289464
96	0.4719146884
97	0.4708190164
98	0.4697868205
99	0.4687127635
