iter	Passed	Remaining
0	1	132
1	2	124
2	3	120
3	4	116
4	5	112
5	7	109
6	8	107
7	9	106
8	10	105
9	11	103
10	12	102
11	13	101
12	15	102
13	16	104
14	18	102
15	19	101
16	20	100
17	21	98
18	22	96
19	23	95
20	24	93
21	25	92
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	33	83
29	35	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
